URL,Sidtyp,Status,Meta titel,Titel (tecken),Meta description,Description (tecken)
https://runclubs.se/,Startsida,Befintlig,"Löpargrupper i Sverige — Stockholm, Göteborg, Övriga landet | Runclubs.se",73,"Löpargrupper i Stockholm, Göteborg och övriga landet — alla Sveriges run clubs samlade på ett ställe. Filtrera på stad och nivå. Hitta din grupp och spring idag.",161
https://runclubs.se/stockholm,Stadssida,Befintlig,Löpargrupper Stockholm — Hitta din Run Club | Runclubs.se,57,"Löpargrupper i Stockholm — alla run clubs, tider och startplatser samlade. Från Hagaparken till Södermalm. Hitta din grupp och hoppa på idag.",141
https://runclubs.se/goteborg,Stadssida,Befintlig,Löpargrupper Göteborg — Hitta din Run Club | Runclubs.se,56,"Löpargrupper i Göteborg — Slottsskogen, Änggårdsbergen och Delsjön. Filtrera på dag och nivå, hitta din grupp och hoppa på din första löpning.",142
https://runclubs.se/ovriga-landet,Stadssida,Befintlig,Löpargrupper i övriga landet — Hitta din Run Club | Runclubs.se,63,"Löpargrupper utanför Stockholm och Göteborg — från Ribersborg till Folkets Park. Filtrera på dag och nivå, hitta din grupp och lägg in första löpningen i kalendern.",164
https://runclubs.se/events,Övrig sida,Befintlig,Running Events Sverige — Swedish Run Clubs,42,"Alla kommande running events och weekly runs i Stockholm, Göteborg och övriga landet — från run clubs, grupper och communions.",126
https://runclubs.se/stockholm-running-events,Övrig sida,Befintlig,Stockholms Löparevent — Swedish Run Clubs,41,Kommande grupplöpningar och events från Stockholms run clubs — Strava-events och veckoliga grupplöpningar.,106
https://runclubs.se/loppkalender,Övrig sida,Befintlig,Kommande Lopp — Swedish Run Clubs,33,"Hitta kommande löptävlingar i Sverige — Stockholm och Göteborg. 10 km, halvmaraton, maraton och mer.",100
https://runclubs.se/nyheter,Övrig sida,Befintlig,Nyheter om Run Clubs & Löpning i Sverige | Runclubs.se,54,"Senaste nytt från svenska löparvärlden — nya clubs, event-drops, trender och allt löpare bör ha koll på. Uppdateras varje vecka. Håll koll här.",143
https://runclubs.se/tjejer-tar-over-lopsparen,Övrig sida,Befintlig,Tjejer tar över löpspåren — Trenden 2026 | Runclubs.se,54,Aldrig har så många tjejer sprungit i grupp i Sverige. Läs om trenden som sveper landet och hitta en löpargrupp att hänga med idag.,131
https://runclubs.se/stockholm-marathon-2026-slutsalt,Övrig sida,Befintlig,Stockholm Marathon 2026 Slutsålt — Vad händer nu? | Runclubs.se,63,Stockholm Marathon 2026 slutsålt på rekordtid — 25 000 platser borta. Vad det säger om löparåret och hur du hittar din nästa start.,131
